,word,sense_index,name,lexname,pos,definition,examples
0,cup,0,cup.n.01,noun.artifact,n,a small open container usually used for drinking; usually has a handle,he put the cup back in the saucer;the handle of the cup was missing
1,cup,1,cup.n.02,noun.quantity,n,the quantity a cup will hold,he drank a cup of coffee;he borrowed a cup of sugar
2,cup,2,cup.n.03,noun.shape,n,any cup-shaped concavity,bees filled the waxen cups with honey;he wore a jock strap with a metal cup;the cup of her bra
3,cup,3,cup.n.04,noun.quantity,n,a United States liquid unit equal to 8 fluid ounces,
4,cup,4,cup.n.05,noun.plant,n,cup-shaped plant organ,
5,cup,5,cup.n.06,noun.food,n,a punch served in a pitcher instead of a punch bowl,
6,cup,6,cup.n.07,noun.artifact,n,the hole (or metal container in the hole) on a golf green,he swore as the ball rimmed the cup and rolled away;put the flag back in the cup
7,cup,7,cup.n.08,noun.artifact,n,a large metal vessel with two handles that is awarded as a trophy to the winner of a competition,the school kept the cups is a special glass case
8,cup,8,cup.v.01,verb.change,v,form into the shape of a cup,She cupped her hands
9,cup,9,cup.v.02,verb.change,v,put into a cup,cup the milk
10,cup,10,cup.v.03,verb.body,v,treat by applying evacuated cups to the patient's skin,
0,water,0,water.n.01,noun.substance,n,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,
1,water,1,body_of_water.n.01,noun.object,n,the part of the earth's surface covered with water (such as a river or lake or ocean),they invaded our territorial waters;they were sitting by the water's edge
2,water,2,water.n.03,noun.substance,n,once thought to be one of four elements composing the universe (Empedocles),
3,water,3,water_system.n.02,noun.artifact,n,a facility that provides a source of water,the town debated the purification of the water supply;first you have to cut off the water
4,water,4,urine.n.01,noun.substance,n,liquid excretory product,there was blood in his urine;the child had to make water
5,water,5,water.n.06,noun.food,n,a liquid necessary for the life of most animals and plants,he asked for a drink of water
6,water,6,water.v.01,verb.change,v,"supply with water, as with channels or ditches or streams",Water the fields
7,water,7,water.v.02,verb.possession,v,provide with water,We watered the buffalo
8,water,8,water.v.03,verb.body,v,"secrete or form water, as tears or saliva",My mouth watered at the prospect of a good dinner;His eyes watered
9,water,9,water.v.04,verb.change,v,fill with tears,His eyes were watering
0,down,0,down.n.01,noun.animal,n,soft fine feathers,
1,down,1,down.n.02,noun.act,n,(American football) a complete play to advance the football,you have four downs to gain ten yards
2,down,2,down.n.03,noun.person,n,English physician who first described Down's syndrome (1828-1896),
3,down,3,down.n.04,noun.object,n,(usually plural) a rolling treeless highland with little soil,
4,down,4,down.n.05,noun.body,n,fine soft dense hair (as the fine short hair of cattle or deer or the wool of sheep or the undercoat of certain dogs),
5,down,5,toss_off.v.02,verb.consumption,v,drink down entirely,He downed three martinis before dinner;She killed a bottle of brandy that night;They popped a few beer after work
6,down,6,devour.v.03,verb.consumption,v,eat immoderately,Some people can down a pound of meat in the course of one meal
7,down,7,down.v.03,verb.competition,v,bring down or defeat (an opponent),
8,down,8,down.v.04,verb.motion,v,shoot at and force to come down,the enemy landed several of our aircraft
9,down,9,down.v.05,verb.contact,v,cause to come or go down,The policeman downed the heavily armed suspect;The mugger knocked down the old lady after she refused to hand over her wallet
10,down,10,polish.v.02,verb.change,v,improve or perfect by pruning or polishing,refine one's style of writing
11,down,11,down.a.01,adj.all,a,being or moving lower in position or less in some value,lay face down;the moon is down;our team is down by a run;down by a pawn;the stock market is down today
12,down,12,down.s.02,adj.all,s,extending or moving from a higher to a lower place,the down staircase;the downward course of the stream
13,down,13,down.s.03,adj.all,s,becoming progressively lower,the down trend in the real estate market
14,down,14,down.s.04,adj.all,s,being put out by a strikeout,two down in the bottom of the ninth
15,down,15,down.s.05,adj.all,s,understood perfectly,had his algebra problems down
16,down,16,depressed.s.01,adj.all,s,lower than previously,the market is depressed;prices are down
17,down,17,down.s.07,adj.all,s,shut,the shades were down
18,down,18,down.s.08,adj.all,s,not functioning (temporarily or permanently),we can't work because the computer is down
19,down,19,gloomy.s.02,adj.all,s,filled with melancholy and despondency,gloomy at the thought of what he had to face;gloomy predictions;a gloomy silence;took a grim view of the economy;the darkening mood;lonely and blue in a strange city;depressed by the loss of his job;a dispirited and resigned expression on her face;downcast after his defeat;feeling discouraged and downhearted
20,down,20,down.r.01,adv.all,r,spatially or metaphorically from a higher to a lower level or position,don't fall down;rode the lift up and skied down;prices plunged downward
21,down,21,down.r.02,adv.all,r,away from a more central or a more northerly place,was sent down to work at the regional office;worked down on the farm;came down for the wedding;flew down to Florida
22,down,22,down.r.03,adv.all,r,paid in cash at time of purchase,put ten dollars down on the necklace
23,down,23,down.r.04,adv.all,r,from an earlier time,the story was passed down from father to son
24,down,24,down.r.05,adv.all,r,to a lower intensity,he slowly phased down the light until the stage was completely black
25,down,25,down.r.06,adv.all,r,in an inactive or inoperative state,the factory went down during the strike;the computer went down again
0,hair,0,hair.n.01,noun.body,n,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,he combed his hair;each hair consists of layers of dead keratinized cells
1,hair,1,hair's-breadth.n.01,noun.quantity,n,a very small distance or space,they escaped by a hair's-breadth;they lost the election by a whisker
2,hair,2,hair.n.03,noun.plant,n,filamentous hairlike growth on a plant,peach fuzz
3,hair,3,hair.n.04,noun.body,n,any of the cylindrical filaments characteristically growing from the epidermis of a mammal,there is a hair in my soup
4,hair,4,haircloth.n.01,noun.artifact,n,cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments,
5,hair,5,hair.n.06,noun.animal,n,a filamentous projection or process on an organism,
0,cow,0,cow.n.01,noun.animal,n,"female of domestic cattle: ""`moo-cow' is a child's term""",
1,cow,1,cow.n.02,noun.animal,n,mature female of mammals of which the male is called `bull',
2,cow,2,cow.n.03,noun.person,n,a large unpleasant woman,
3,cow,3,overawe.v.01,verb.emotion,v,"subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats)",
0,more,0,more.n.01,noun.person,n,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state",
1,more,1,more.a.01,adj.all,a,(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree,more land;more support;more rain fell;more than a gallon
2,more,2,more.a.02,adj.all,a,(comparative of `many' used with count nouns) quantifier meaning greater in number,a hall with more seats;we have no more bananas;more than one
3,more,3,more.r.01,adv.all,r,used to form the comparative of some adjectives and adverbs,more interesting;more beautiful;more quickly
4,more,4,more.r.02,adv.all,r,comparative of much; to a greater degree or extent,he works more now;they eat more than they should
0,outside,0,outside.n.01,noun.location,n,the region that is outside of something,
1,outside,1,outside.n.02,noun.location,n,the outer side or surface of something,
2,outside,2,outside.a.01,adj.all,a,relating to or being on or near the outer side or limit,an outside margin
3,outside,3,external.s.02,adj.all,s,coming from the outside,extraneous light in the camera spoiled the photograph;relying upon an extraneous income;disdaining outside pressure groups
4,outside,4,outside.s.03,adj.all,s,"originating or belonging beyond some bounds:""the outside world""",outside interests;an outside job
5,outside,5,outdoor.a.01,adj.all,a,"located, suited for, or taking place in the open air",outdoor clothes;badminton and other outdoor games;a beautiful outdoor setting for the wedding
6,outside,6,outside.s.05,adj.all,s,functioning outside the boundaries or precincts of an organized unit,extramural hospital care and treatment;extramural studies
7,outside,7,outside.s.06,adj.all,s,leading to or from the outside,an outside door
8,outside,8,external.s.03,adj.all,s,from or between other countries,external commerce;international trade;developing nations need outside help
9,outside,9,outside.s.08,adj.all,s,very unlikely,an outside chance;a remote possibility;a remote contingency
10,outside,10,outside.s.09,adj.all,s,on or toward an outer edge,an outer lane;the outside lane
11,outside,11,away.s.03,adj.all,s,(of a baseball pitch) on the far side of home plate from the batter,the pitch was away (or wide);an outside pitch
12,outside,12,outside.r.01,adv.all,r,outside a building,in summer we play outside
13,outside,13,outside.r.02,adv.all,r,on the outside,"outside, the box is black"
0,spoon,0,spoon.n.01,noun.artifact,n,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,
1,spoon,1,spoon.n.02,noun.quantity,n,as much as a spoon will hold,he added two spoons of sugar
2,spoon,2,spoon.n.03,noun.artifact,n,formerly a golfing wood with an elevated face,
3,spoon,3,spoon.v.01,verb.contact,v,scoop up or take up with a spoon,spoon the sauce over the roast
4,spoon,4,smooch.v.01,verb.contact,v,snuggle and lie in a position where one person faces the back of the others,
0,mine,0,mine.n.01,noun.artifact,n,excavation in the earth from which ores and minerals are extracted,
1,mine,1,mine.n.02,noun.artifact,n,explosive device that explodes on contact; designed to destroy vehicles or ships or to kill or maim personnel,
2,mine,2,mine.v.01,verb.consumption,v,get from the earth by excavation,mine ores and metals
3,mine,3,mine.v.02,verb.competition,v,lay mines,The Vietnamese mined Cambodia
0,door,0,door.n.01,noun.artifact,n,a swinging or sliding barrier that will close the entrance to a room or building or vehicle,he knocked on the door;he slammed the door as he left
1,door,1,doorway.n.01,noun.artifact,n,the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close,he stuck his head in the doorway
2,door,2,door.n.03,noun.attribute,n,anything providing a means of access (or escape),we closed the door to Haitian immigrants;education is the door to success
3,door,3,door.n.04,noun.artifact,n,a structure where people live or work (usually ordered along a street or road),the office next door;they live two doors up the street from us
4,door,4,door.n.05,noun.artifact,n,a room that is entered via a door,his office is the third door down the hall on the left
0,eat,0,eat.v.01,verb.consumption,v,take in solid food,She was eating a banana;What did you eat for dinner last night?
1,eat,1,eat.v.02,verb.consumption,v,eat a meal; take a meal,"We did not eat until 10 P.M. because there were so many phone calls;I didn't eat yet, so I gladly accept your invitation"
2,eat,2,feed.v.06,verb.consumption,v,take in food; used of animals only,This dog doesn't eat certain kinds of meat;What do whales eat?
3,eat,3,eat.v.04,verb.emotion,v,worry or cause anxiety in a persistent way,What's eating you?
